B,alg,inst,d,banda,h0,semilla,exito,evals,cruda,simple,t
100,HC,25,10,0,10,3,1,32,10,10,1.677899990681908e-05
100,HC,25,10,0,10,4,1,39,10,10,2.5011000161612174e-05
100,HC,25,10,0,10,5,1,47,10,10,2.7942999622609932e-05
100,HC,25,10,0,10,6,1,19,10,10,1.0501999895495828e-05
100,HC,25,10,0,10,7,1,19,10,10,1.0141000075236661e-05
100,HC,25,10,0,10,8,1,19,10,10,1.0284999916621018e-05
100,HC,25,10,0,10,9,1,42,10,10,2.493700003469712e-05
100,HC,26,9,0,7,0,0,100,,,6.895099977555219e-05
100,HC,26,9,0,7,1,0,100,,,6.608099965887959e-05
100,HC,26,9,0,7,2,0,100,,,6.961200006116997e-05
100,HC,26,9,0,7,3,0,100,,,9.287900002163951e-05
100,HC,26,9,0,7,4,0,100,,,6.650399973295862e-05
100,HC,26,9,0,7,5,0,100,,,6.596200000785757e-05
100,HC,26,9,0,7,6,0,100,,,6.652799993389635e-05
100,HC,26,9,0,7,7,0,100,,,6.553399998665554e-05
100,HC,26,9,0,7,8,0,100,,,6.441799996537156e-05
100,HC,26,9,0,7,9,0,100,,,6.551800015586196e-05
100,HC,27,8,0,8,0,1,85,8,8,4.944700003761682e-05
100,HC,27,8,0,8,1,1,18,8,8,1.0038999789685477e-05
100,HC,27,8,0,8,2,1,18,8,8,9.42799988479237e-06
100,HC,27,8,0,8,3,0,100,,,5.812800009152852e-05
100,HC,27,8,0,8,4,1,18,8,8,1.4401000044017565e-05
100,HC,27,8,0,8,5,1,18,8,8,1.0237999958917499e-05
100,HC,27,8,0,8,6,1,18,8,8,9.28899999053101e-06
100,HC,27,8,0,8,7,1,18,8,8,9.331999990536133e-06
100,HC,27,8,0,8,8,0,100,,,6.326799984890386e-05
100,HC,27,8,0,8,9,1,18,8,8,9.998999757954152e-06
100,HC,28,9,0,9,0,1,42,13,13,2.6576999971439363e-05
100,HC,28,9,0,9,1,1,24,9,9,1.4149999969959026e-05
100,HC,28,9,0,9,2,1,20,9,9,3.252599981351523e-05
100,HC,28,9,0,9,3,1,93,9,9,6.045300006007892e-05
100,HC,28,9,0,9,4,1,24,9,9,1.5454000276804436e-05
100,HC,28,9,0,9,5,1,44,13,13,2.6074999823322287e-05
100,HC,28,9,0,9,6,1,52,9,9,3.7526000141951954e-05
100,HC,28,9,0,9,7,1,47,9,9,2.9427999834297225e-05
100,HC,28,9,0,9,8,1,30,9,9,1.6976000097201904e-05
100,HC,28,9,0,9,9,1,38,9,9,2.4144000235537533e-05
100,HC,29,7,0,5,0,1,17,7,7,1.1863000054290751e-05
100,HC,29,7,0,5,1,1,17,7,7,1.1124000138806878e-05
100,HC,29,7,0,5,2,1,17,7,7,1.0635999842634192e-05
100,HC,29,7,0,5,3,1,26,7,7,1.857899997048662e-05
100,HC,29,7,0,5,4,1,25,7,7,1.727600010781316e-05
100,HC,29,7,0,5,5,1,26,7,7,1.7530999684822746e-05
100,HC,29,7,0,5,6,1,59,7,7,3.8051000046834815e-05
100,HC,29,7,0,5,7,1,28,7,7,1.8373999864707002e-05
100,HC,29,7,0,5,8,1,17,7,7,1.0831000054167816e-05
100,HC,29,7,0,5,9,1,17,7,7,1.0511000255064573e-05
100,HC,30,10,0,10,0,1,21,10,10,1.1070000255131163e-05
100,HC,30,10,0,10,1,1,21,10,10,1.0881999969569733e-05
